"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0051346","negative regulation of hydrolase activity","50/1012","345/18614",2.18937211945072e-10,2.00298425826431e-09,8.98758804327683e-10,"APP/TNF/VEGFA/SNCA/A2M/ARRB2/MIR17/VTN/GAS6/MIR195/POR/MIR21/TIMP1/MMP9/HGF/GPX1/TMED10/CST3/APOA1/APOA2/SERPINF2/SERPINA1/SERPING1/COL6A3/TIMP2/SERPINE1/CD27/F11R/NGF/KLRK1/PLAUR/SRC/AKT1/ANXA1/CD44/MIRLET7B/AVP/ANGPTL3/RGS2/PTGS2/LGALS3/RENBP/HDAC9/SLPI/HRAS/APCS/XIAP/IFI16/CST7/KNG1",50
"BP","GO:0043551","regulation of phosphatidylinositol 3-kinase activity","16/1012","42/18614",2.26468259050501e-10,2.06541878690987e-09,9.26773793503321e-10,"CD19/KIT/TGFB1/PIK3R1/CCL19/CCR7/NOD2/TEK/FLT1/FGF2/CCL21/PTK2/SRC/PDGFRA/RUBCN/PDGFRB",16
"BP","GO:0050999","regulation of nitric-oxide synthase activity","16/1012","42/18614",2.26468259050501e-10,2.06541878690987e-09,9.26773793503321e-10,"INS/IL1B/TNF/LEP/APOE/EGFR/HIF1A/IL1A/MIR132/NOD1/AKT1/CAV1/S100A1/AGTR2/GLA/GCH1",16
"BP","GO:0042269","regulation of natural killer cell mediated cytotoxicity","17/1012","48/18614",2.3786404365841e-10,2.16260217609186e-09,9.70380939341503e-10,"LEP/IL12B/ARRB2/TGFB1/KLRC1/KLRC2/KLRK1/HLA-A/IL21/LAMP1/LAG3/HAVCR2/HLA-B/LGALS9/KLRB1/NCR3/NCR1",17
"BP","GO:0046596","regulation of viral entry into host cell","17/1012","48/18614",2.3786404365841e-10,2.16260217609186e-09,9.70380939341503e-10,"CD4/TMPRSS2/IFNA2/FURIN/TRIM21/CD74/HLA-DRB1/FCN3/IFITM3/HMGB1/LGALS1/LGALS9/TMPRSS4/APCS/FCN1/LY6E/IFITM2",17
"BP","GO:0032310","prostaglandin secretion","11/1012","18/18614",2.60302627186927e-10,2.36293347598568e-09,1.06027157069275e-09,"IL1B/LEP/IL1A/TNFSF11/EDN1/MIF/PTGS2/OXT/NOS2/P2RX7/PLA2G10",11
"BP","GO:0051209","release of sequestered calcium ion into cytosol","28/1012","130/18614",2.86073922461031e-10,2.59284984605766e-09,1.16343731501084e-09,"CD19/SNCA/TRPA1/CXCL10/CXCL9/CCL3/CCL19/CCR7/IL13/F2/THY1/PTPRC/FGF2/CCR5/CX3CL1/CCL21/CXCL11/TPCN2/SRI/PKD2/GSTO1/CHD7/SLC8B1/LETM1/RYR2/P2RX7/DDIT3/GP1BA",28
"BP","GO:0071402","cellular response to lipoprotein particle stimulus","15/1012","37/18614",2.9308312393974e-10,2.65226616494074e-09,1.19009800367905e-09,"TLR4/APOE/CD68/ADAM17/TREM2/PPARG/FGF21/TLR6/ITGB1/AKT1/ITGB2/MIR146A/CD9/SYK/CD81",15
"BP","GO:0010657","muscle cell apoptotic process","23/1012","90/18614",3.06834212077176e-10,2.77241546182871e-09,1.24401017895766e-09,"AGT/IL12B/ARRB2/MIR17/IFNG/NFE2L2/MIR195/MIR21/IGF1/SIRT1/PPARG/SMAD4/MFN2/SOD2/CDKN2A/MIR145/MIR20A/EDN1/MIR34A/CXCR2/MIR320A/TP53/DNMT1",23
"BP","GO:0034767","positive regulation of monoatomic ion transmembrane transport","33/1012","175/18614",3.12262337651989e-10,2.81710744739742e-09,1.26406391395185e-09,"CD19/SNCA/IFNG/CXCL10/CCL2/G6PD/MIR21/TREM2/ADRB2/PINK1/RELN/CXCL9/IL13/F2/EDN1/THY1/RAMP3/CX3CL1/CXCL11/SUMO1/ABCC8/CAV1/SRI/PKD2/GSTO1/SLC9A1/GRIN1/RYR2/P2RX7/BAK1/NPPA/IFNGR2/STAC3",33
"BP","GO:1903202","negative regulation of oxidative stress-induced cell death","18/1012","55/18614",3.15405905755059e-10,2.84108308943617e-09,1.27482202115256e-09,"INS/IL10/MIR17/CTNNB1/NFE2L2/HIF1A/MIR195/MIR21/HGF/SIRT1/TXN/PINK1/SOD2/GPX1/SLC7A11/AKT1/RACK1/MIRLET7B",18
"BP","GO:0048738","cardiac muscle tissue development","40/1012","243/18614",3.17927713390935e-10,2.85939294228216e-09,1.28303783282625e-09,"VEGFA/AGT/CBY1/ARRB2/TGFB1/RBP4/MIR195/G6PD/ZFPM1/IGF1/MTOR/LMNA/TNNC1/SMAD4/TNNT2/NPPB/DSG2/MAPK14/EDN1/RUNX1/FGF2/CDK1/ITGB1/NOTCH1/TNNI3/ENG/RGS2/YAP1/TAFAZZIN/PDGFRA/HAMP/HEY1/CHD7/SLC9A1/RYR2/ACVR1/SGCG/PPARA/PDGFRB/NPPA",40
"BP","GO:0120162","positive regulation of cold-induced thermogenesis","24/1012","98/18614",3.28939373973449e-10,2.9538856839459e-09,1.32543765856874e-09,"VEGFA/LEP/ADRB1/IL4/ADIPOQ/LCN2/PRKAB1/FABP4/ADRB2/IL18/CXCR4/MFN2/FGF21/IL13/TSHR/ADRB3/BSCL2/CAV1/SYK/OXT/PHOX2B/SCD/ACSL1/ACHE",24
"BP","GO:0042730","fibrinolysis","13/1012","27/18614",3.30643941355683e-10,2.96463877479344e-09,1.33026267655532e-09,"FGB/VTN/SERPINF2/F2/SERPING1/PROS1/SERPINE1/PLAU/PLAUR/THBD/GP1BA/PLAT/ANXA2",13
"BP","GO:0043552","positive regulation of phosphatidylinositol 3-kinase activity","14/1012","32/18614",3.38954965250105e-10,3.034503410187e-09,1.36161162795722e-09,"CD19/KIT/TGFB1/CCL19/CCR7/NOD2/TEK/FLT1/FGF2/CCL21/PTK2/SRC/PDGFRA/PDGFRB",14
"BP","GO:0042554","superoxide anion generation","16/1012","43/18614",3.42561931503684e-10,3.05743061308479e-09,1.37189929016823e-09,"MAPT/ITGAM/CRP/AGT/TGFB1/SOD2/EDN1/ITGB2/SOD1/TAFA4/NCF1/CLEC7A/SYK/F2RL1/GSTP1/CYBB",16
"BP","GO:0071604","transforming growth factor beta production","16/1012","43/18614",3.42561931503684e-10,3.05743061308479e-09,1.37189929016823e-09,"HIF1A/COL3A1/SMAD4/FURIN/IL13/SERPINF2/CD34/FOXP3/CD200/CX3CL1/FN1/PTGS2/LGALS9/TSKU/CD46/SMAD3",16
"BP","GO:0051283","negative regulation of sequestering of calcium ion","28/1012","131/18614",3.45292304476557e-10,3.07710184751517e-09,1.38072596719445e-09,"CD19/SNCA/TRPA1/CXCL10/CXCL9/CCL3/CCL19/CCR7/IL13/F2/THY1/PTPRC/FGF2/CCR5/CX3CL1/CCL21/CXCL11/TPCN2/SRI/PKD2/GSTO1/CHD7/SLC8B1/LETM1/RYR2/P2RX7/DDIT3/GP1BA",28
"BP","GO:0022617","extracellular matrix disassembly","19/1012","62/18614",3.65556133445685e-10,3.25272626502812e-09,1.4595303765868e-09,"IL6/DPP4/TGFB1/MMP2/MMP9/TMPRSS6/FURIN/CST3/MMP1/MMP3/MMP8/MMP10/ELANE/MMP7/MMP12/MMP13/KLK4/ADAM10/CTSG",19
"BP","GO:0002791","regulation of peptide secretion","35/1012","195/18614",3.72366637754261e-10,3.30829082722099e-09,1.48446274401475e-09,"INS/IL1B/IL6/TNF/LEP/CHRM3/IFNG/FGB/RBP4/HIF1A/CRH/SERP1/FOXO1/ADRA2A/CD38/S100A8/F2/CD74/TNFSF11/GCG/GIP/CCL5/HLA-DRB1/ALOX5/ABCC8/SRI/F2RL1/CHD7/KISS1/NOS2/MCU/SLC8B1/CLOCK/UCN3/SLC30A8",35
"BP","GO:0002711","positive regulation of T cell mediated immunity","20/1012","69/18614",3.84373492699112e-10,3.40978366967983e-09,1.53000358406866e-09,"IL1B/IL6/NLRP3/IL12B/IL4/IL18/HLA-DRA/TRAF2/PTPRC/FOXP3/HLA-C/HLA-A/HLA-DRB1/IL23A/TBX21/HLA-B/B2M/CD81/P2RX7/CD1C",20
"BP","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","24/1012","99/18614",4.12127322545918e-10,3.65044898121733e-09,1.63799248450467e-09,"IL1B/TNF/CSF2/FGB/IL4/ICAM1/IGF1/HGF/LMNA/IL1A/GPX1/NRP1/IL7/PF4/SERPINE1/CX3CL1/SRC/AKT1/YAP1/LGALS3/GSTP1/MIR221/ACVR1/AR",24
"BP","GO:0002823","negative regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","18/1012","56/18614",4.41368587810422e-10,3.89764465912345e-09,1.74891162477909e-09,"IL2/IFNA2/IL4/AHR/IFNB1/NOD2/CR2/C4BPA/PTPRC/FOXP3/KLRC1/IL33/TBX21/HAVCR2/CD46/FCGR2B/BCL6/IL7R",18
"BP","GO:0043331","response to dsRNA","18/1012","56/18614",4.41368587810422e-10,3.89764465912345e-09,1.74891162477909e-09,"NFKB1/IFNA2/IFNA1/IFNA21/IFIH1/IFNB1/NOD2/RIGI/TLR3/IRF3/CAV1/CGAS/STING1/PMAIP1/P2RX7/IFNA17/PELI1/IFIT1",18
"BP","GO:0090087","regulation of peptide transport","35/1012","197/18614",4.96344329064972e-10,4.35573652042662e-09,1.9544619638985e-09,"INS/IL1B/IL6/TNF/LEP/CHRM3/IFNG/FGB/RBP4/HIF1A/CRH/SERP1/FOXO1/ADRA2A/CD38/S100A8/F2/CD74/TNFSF11/GCG/GIP/CCL5/HLA-DRB1/ALOX5/ABCC8/SRI/F2RL1/CHD7/KISS1/NOS2/MCU/SLC8B1/CLOCK/UCN3/SLC30A8",35
"BP","GO:0010573","vascular endothelial growth factor production","19/1012","63/18614",4.96968279150902e-10,4.35573652042662e-09,1.9544619638985e-09,"IL1B/IL6/TNF/MIR17/TGFB1/HIF1A/MIR195/C3/IL1A/MIR20A/MIR34A/MIR132/C5AR1/AQP4/MIR146A/IL6R/FLT4/PTGS2/C5",19
"BP","GO:0031638","zymogen activation","19/1012","63/18614",4.96968279150902e-10,4.35573652042662e-09,1.9544619638985e-09,"PYCARD/FGB/CTSL/C1R/GGT1/FURIN/SERPINF2/S100A10/MASP1/SERPINE1/CASP8/RUNX1/PLAU/PLAUR/THBD/BAK1/PLAT/ANXA2/IFI16",19
"BP","GO:0032623","interleukin-2 production","19/1012","63/18614",4.96968279150902e-10,4.35573652042662e-09,1.9544619638985e-09,"CD4/IL1B/CD28/IL1A/CD80/SFTPD/NOD2/TRAF2/PTPRC/CD34/FOXP3/RUNX1/CD86/ANXA1/TBX21/LAG3/HAVCR2/PRNP/CLEC7A",19
"BP","GO:0032663","regulation of interleukin-2 production","19/1012","63/18614",4.96968279150902e-10,4.35573652042662e-09,1.9544619638985e-09,"CD4/IL1B/CD28/IL1A/CD80/SFTPD/NOD2/TRAF2/PTPRC/CD34/FOXP3/RUNX1/CD86/ANXA1/TBX21/LAG3/HAVCR2/PRNP/CLEC7A",19
"BP","GO:0045776","negative regulation of blood pressure","17/1012","50/18614",4.97713307499996e-10,4.35573652042662e-09,1.9544619638985e-09,"TNF/ADRB1/MIR17/ADIPOQ/ADRB2/SOD2/NPPB/CALCA/ADRB3/RNLS/AGTR2/OXT/NOS2/GCH1/BMPR2/PPARA/NPPA",17
"BP","GO:0051282","regulation of sequestering of calcium ion","28/1012","133/18614",4.99967716506478e-10,4.36892566621356e-09,1.96038006377806e-09,"CD19/SNCA/TRPA1/CXCL10/CXCL9/CCL3/CCL19/CCR7/IL13/F2/THY1/PTPRC/FGF2/CCR5/CX3CL1/CCL21/CXCL11/TPCN2/SRI/PKD2/GSTO1/CHD7/SLC8B1/LETM1/RYR2/P2RX7/DDIT3/GP1BA",28
"BP","GO:0002468","dendritic cell antigen processing and presentation","10/1012","15/18614",5.05491433803554e-10,4.41060137614266e-09,1.97908036612484e-09,"CD68/CCL19/CCR7/NOD2/CD74/HLA-DRA/CCL21/NOD1/HLA-DRB1/FCGR2B",10
"BP","GO:1905521","regulation of macrophage migration","16/1012","44/18614",5.1128676864354e-10,4.45451929879305e-09,1.99878677144827e-09,"CSF1/TREM2/RARRES2/CCL3/CCL5/C5AR1/CD200/CX3CR1/CX3CL1/PTK2/MIF/CD9/CD81/CD200R1/CSF1R/C5",16
"BP","GO:0014013","regulation of gliogenesis","25/1012","108/18614",5.12987863222465e-10,4.46268906011686e-09,2.00245262398243e-09,"IL1B/IL6/TNF/LTA/GFAP/KRAS/NF1/CTNNB1/TGFB1/TLR2/TSPO/MTOR/TREM2/CXCR4/F2/NOTCH1/IL33/ABCC8/MIR146A/TP53/DAB1/MIR221/CDKN2B/RNF112/RB1",25
"BP","GO:2001056","positive regulation of cysteine-type endopeptidase activity","29/1012","142/18614",5.25907809857438e-10,4.56828685947486e-09,2.04983539870921e-09,"FAS/MAPT/TNF/NLRP3/PYCARD/SNCA/SIRT1/PPARG/CASP1/S100A8/S100A9/RHOA/CASP8/MEFV/NOD1/RACK1/HMGB1/AIFM1/LGALS9/AIM2/CLEC7A/SYK/F3/TNFSF10/PMAIP1/GRIN1/SMAD3/BAK1/IFI16",29
"BP","GO:0010821","regulation of mitochondrion organization","30/1012","151/18614",5.36678254890687e-10,4.64803122680142e-09,2.08561748333348e-09,"MAPT/PYCARD/ARRB2/EP300/HIF1A/SQSTM1/TSPO/IGF1/MMP9/HGF/TREM2/LMNA/PPARG/PINK1/DNM1L/KDR/GPX1/GZMB/IAPP/VDAC1/RNF41/PLAUR/AKT1/TP53/AVP/TNFSF10/PMAIP1/MCU/AURKA/BAK1",30
"BP","GO:0016525","negative regulation of angiogenesis","30/1012","151/18614",5.36678254890687e-10,4.64803122680142e-09,2.08561748333348e-09,"PRL/TNF/AGT/MIR17/NF1/CTNNB1/CXCL10/ANGPT2/MIR21/STAT1/PPARG/CLDN5/NPPB/PF4/MIR145/MIR424/MIR20A/MIR34A/SERPINE1/TEK/MIR29A/ALOX5/ABCC8/MIR146A/STAB1/THBS2/ANGPT4/MIR885/MIR221/HHEX",30
"BP","GO:0002832","negative regulation of response to biotic stimulus","27/1012","125/18614",5.55015539857146e-10,4.79973497929715e-09,2.15368845425725e-09,"INS/A2M/ARRB2/PTPN22/TYRO3/TGFB1/MIR21/AHR/PARP1/PPARG/TRIM21/SERPING1/FOXP3/KLRC1/HLA-A/NR1H2/MMP12/HAVCR2/HLA-B/LGALS9/F2RL1/GRN/OAS1/ITCH/IFI16/DHX58/ISG15",27
"BP","GO:0071624","positive regulation of granulocyte chemotaxis","13/1012","28/18614",5.86521153130068e-10,5.06074157697789e-09,2.27080469053584e-09,"CXCL8/IL4/DNM1L/CCL19/CCR7/LBP/CD74/EDN1/C5AR1/CXCR2/CCL21/IL23A/MCU",13
"BP","GO:0010744","positive regulation of macrophage derived foam cell differentiation","11/1012","19/18614",5.87793966946286e-10,5.06074157697789e-09,2.27080469053584e-09,"CSF2/AGT/CSF1/NFKB1/IL18/PF4/AGTR1/APOB/MSR1/PLA2G2A/PLA2G10",11
"BP","GO:0032930","positive regulation of superoxide anion generation","11/1012","19/18614",5.87793966946286e-10,5.06074157697789e-09,2.27080469053584e-09,"MAPT/ITGAM/CRP/AGT/TGFB1/ITGB2/SOD1/CLEC7A/SYK/F2RL1/GSTP1",11
"BP","GO:0014074","response to purine-containing compound","29/1012","143/18614",6.26046107328524e-10,5.38215521094493e-09,2.41502616015895e-09,"APP/IL1B/SLC6A3/REN/ADA/ADIPOQ/AHR/STAT1/FOS/ASS1/BSG/NT5E/TLR7/SDC1/SOD1/THBD/PTGS2/AREG/HSPA5/PKD2/OXT/FOSB/RAPGEF1/RYR2/P2RX7/TAF1/PLAT/P2RY1/P2RY2",29
"BP","GO:1990845","adaptive thermogenesis","31/1012","161/18614",6.27269982184529e-10,5.38475817305544e-09,2.41619413494682e-09,"TLR4/VEGFA/LEP/ADRB1/IL4/ADIPOQ/LCN2/ADAM17/PRKAB1/FABP4/ADRB2/IL18/CXCR4/MFN2/FGF21/IL15/IL13/TSHR/NR1H2/ADRB3/NOTCH1/BSCL2/CAV1/SYK/OXT/PHOX2B/DDIT3/SCD/ACSL1/ACHE/RB1",31
"BP","GO:0002220","innate immune response activating cell surface receptor signaling pathway","21/1012","78/18614",6.37114441171845e-10,5.4612478344437e-09,2.45051580089557e-09,"TLR4/PTPN22/EP300/TREM2/MBL2/LBP/NOD2/KLRC2/KLRK1/TLR1/TLR6/SRC/MIR146A/FCN3/CD14/CLEC7A/SYK/F2RL1/OAS1/PELI1/FCN1",21
"BP","GO:0009746","response to hexose","35/1012","199/18614",6.5872243814542e-10,5.6382011323545e-09,2.52991649203728e-09,"TNF/TH/GAS6/ADIPOQ/HIF1A/ANGPT2/PTPRN/TREM2/EGR1/SMAD4/FGF21/GPX1/ADRA2A/SARM1/APOA2/ACE/RHOA/GCG/GIP/CASP3/MIR320A/HLA-DRB1/AQP4/RACK1/ABCC8/AGER/MIR146A/NCF1/PTGS2/SRI/PCSK1/MIR221/UCN3/SLC30A8/PTPRN2",35
"BP","GO:0051048","negative regulation of secretion","33/1012","180/18614",6.6981346404417e-10,5.72475074678687e-09,2.56875215819956e-09,"INS/IL1B/TNF/LEP/TNFRSF1A/SNCA/IL12B/APOE/ADA/MIR17/NF1/ADIPOQ/CRH/TSPO/FOXO1/ADRA2A/CD74/ACE/EDN1/CD200/NOTCH1/ANXA1/ABCC8/MIR146A/LGALS9/OPRM1/HTR1B/F2RL1/OXT/BRAF/FCGR2B/OSM/P2RY1",33
"BP","GO:0061082","myeloid leukocyte cytokine production","17/1012","51/18614",7.09005601284231e-10,6.05087116074104e-09,2.71508560645456e-09,"TLR4/PYCARD/KIT/AXL/TGFB1/SIRT1/NOD2/CD74/RIGI/TLR3/TLR7/NOD1/MIF/SYK/P2RX7/TWIST1/BCL6",17
"BP","GO:0060251","regulation of glial cell proliferation","15/1012","39/18614",7.10052687421524e-10,6.05097377648138e-09,2.71513165114997e-09,"IL1B/IL6/TNF/LTA/GFAP/KRAS/NF1/TSPO/NOTCH1/ABCC8/MIR146A/TP53/MIR221/CDKN2B/RB1",15
"BP","GO:0019915","lipid storage","22/1012","86/18614",7.2942145014851e-10,6.2069836936946e-09,2.78513484068044e-09,"IL1B/IL6/TNF/CRP/LEP/NFKB1/APOE/C3/SIRT1/TREM2/PPARG/APOA1/MIR34A/NR1H2/BSCL2/MIR146A/ANGPTL3/CAV1/APOB/MSR1/PPARA/PLA2G10",22
"BP","GO:2000181","negative regulation of blood vessel morphogenesis","30/1012","153/18614",7.49021336118315e-10,6.36450396940069e-09,2.85581574297253e-09,"PRL/TNF/AGT/MIR17/NF1/CTNNB1/CXCL10/ANGPT2/MIR21/STAT1/PPARG/CLDN5/NPPB/PF4/MIR145/MIR424/MIR20A/MIR34A/SERPINE1/TEK/MIR29A/ALOX5/ABCC8/MIR146A/STAB1/THBS2/ANGPT4/MIR885/MIR221/HHEX",30
"BP","GO:0031295","T cell costimulation","16/1012","45/18614",7.53552738352605e-10,6.384448273057e-09,2.86476494885536e-09,"CD28/DPP4/CD274/CD80/CCL19/CCR7/CD40LG/KLRK1/CCL21/CD86/SRC/AKT1/CAV1/LGALS1/PDCD1LG2/CD81",16
"BP","GO:0097028","dendritic cell differentiation","16/1012","45/18614",7.53552738352605e-10,6.384448273057e-09,2.86476494885536e-09,"CSF2/GAS6/AXL/IL4/UBD/TREM2/CCL19/CCR7/RELB/AGER/PRTN3/HMGB1/HLA-B/LGALS9/F2RL1/FCGR2B",16
"BP","GO:0002444","myeloid leukocyte mediated immunity","25/1012","110/18614",7.76031347086817e-10,6.56538242412378e-09,2.94595188809559e-09,"ITGAM/IL6/KIT/FCGR1A/IL4/C3/ADAM17/FCGR3A/CCL3/IL13/F2/ACE/ELANE/CX3CR1/RIGI/BTK/ITGB2/LGALS9/SYK/F2RL1/STXBP2/UNC13D/FCGR2B/IRAK4/CTSG",25
"BP","GO:0031668","cellular response to extracellular stimulus","41/1012","261/18614",8.2178385492785e-10,6.9424110056477e-09,3.11512833355674e-09,"KRT20/FAS/LEP/ALB/NFE2L2/GAS6/AXL/VCAM1/CD68/PIK3C3/MTOR/PRKAB1/SIRT1/ATF3/FOS/FOXO1/AIF1/IL15/DSC2/PTPRC/AOC1/POSTN/GABARAP/EIF2S1/TP53/HSPA5/CDKN1A/AIFM1/COMT/VDR/SLC1A2/PMAIP1/CDKN2B/UCN3/P2RX7/BMPR2/UPP1/PPARA/IFI16/SLC2A1/GSDMD",41
"BP","GO:0001836","release of cytochrome c from mitochondria","18/1012","58/18614",8.43418189016887e-10,7.11489571860421e-09,3.19252392652857e-09,"PYCARD/ARRB2/IGF1/MMP9/HGF/LMNA/PINK1/DNM1L/SOD2/GPX1/PLAUR/AKT1/TP53/AVP/TNFSF10/PMAIP1/BCL2A1/BAK1",18
"BP","GO:0097553","calcium ion transmembrane import into cytosol","35/1012","201/18614",8.70504035897416e-10,7.33280489028284e-09,3.29030192242736e-09,"EPO/CD19/SNCA/TRPA1/CXCL10/CXCL9/CCL3/CCL19/CCR7/IL13/F2/MIR200C/THY1/PTPRC/RAMP3/FGF2/CCR5/CX3CL1/CCL21/CXCL11/TPCN2/CAV1/SRI/PKD2/PRNP/GSTO1/CHD7/GRIN1/SLC8B1/LETM1/RYR2/P2RX7/DDIT3/BAK1/GP1BA",35
"BP","GO:1901343","negative regulation of vasculature development","30/1012","154/18614",8.82773986802663e-10,7.42546291632858e-09,3.33187849316507e-09,"PRL/TNF/AGT/MIR17/NF1/CTNNB1/CXCL10/ANGPT2/MIR21/STAT1/PPARG/CLDN5/NPPB/PF4/MIR145/MIR424/MIR20A/MIR34A/SERPINE1/TEK/MIR29A/ALOX5/ABCC8/MIR146A/STAB1/THBS2/ANGPT4/MIR885/MIR221/HHEX",30
"BP","GO:0032715","negative regulation of interleukin-6 production","20/1012","72/18614",8.87682518142461e-10,7.4453256830141e-09,3.34079111260442e-09,"TLR4/IL10/TNF/ARRB2/PTPN22/GAS6/MIR195/HGF/MIR132/FOXP3/CD200/CX3CL1/AQP4/HAVCR2/MIR146A/ELF4/TLR9/BANK1/CD200R1/IL37",20
"BP","GO:0042130","negative regulation of T cell proliferation","20/1012","72/18614",8.87682518142461e-10,7.4453256830141e-09,3.34079111260442e-09,"IL10/CTLA4/CD274/IDO1/CD80/SFTPD/CASP3/FOXP3/HLA-DRB1/CD86/IL2RA/HAVCR2/LGALS9/PDCD1LG2/PRNP/PLA2G2A/ERBB2/ITCH/PELI1/PDE5A",20
"BP","GO:0010661","positive regulation of muscle cell apoptotic process","14/1012","34/18614",9.03429215877871e-10,7.53416147792016e-09,3.38065261050778e-09,"AGT/IL12B/MIR17/IFNG/MIR195/PPARG/SMAD4/MFN2/SOD2/CDKN2A/MIR34A/CXCR2/MIR320A/TP53",14
"BP","GO:0055094","response to lipoprotein particle","14/1012","34/18614",9.03429215877871e-10,7.53416147792016e-09,3.38065261050778e-09,"TLR4/APOE/CD68/TREM2/PPARG/FGF21/TLR6/ITGB1/AKT1/ITGB2/MIR146A/CD9/SYK/CD81",14
"BP","GO:0090022","regulation of neutrophil chemotaxis","14/1012","34/18614",9.03429215877871e-10,7.53416147792016e-09,3.38065261050778e-09,"CXCL8/DPP4/DNM1L/CCL19/CCR7/LBP/NOD2/CD74/EDN1/C5AR1/CXCR2/CCL21/IL23A/MCU",14
"BP","GO:0090322","regulation of superoxide metabolic process","14/1012","34/18614",9.03429215877871e-10,7.53416147792016e-09,3.38065261050778e-09,"MAPT/ITGAM/CRP/AGT/NFE2L2/TGFB1/MIR21/ITGB2/SOD1/CLEC7A/SYK/F2RL1/GSTP1/GCH1",14
"BP","GO:0010506","regulation of autophagy","49/1012","348/18614",9.06583513261666e-10,7.5496968924896e-09,3.38762350434559e-09,"MAPT/IL10/PYCARD/GFAP/LEP/SNCA/IFNG/PTPN22/EP300/IL4/HIF1A/TSPO/IKBKG/PIK3C3/HGF/MTOR/SIRT1/TREM2/ADRB2/KEAP1/PIK3C2A/FOXO1/PINK1/DNM1L/KDR/IFNB1/TRIM21/NOD2/VDAC1/RNF41/CASP3/MEFV/STAT3/NOD1/AKT1/TPCN2/UCHL1/MIRLET7B/ATM/TP53/HMGB1/STING1/TLR9/PSAP/DDIT3/RUBCN/IFI16/ATP6V0A2/VHL",49
"BP","GO:1903902","positive regulation of viral life cycle","12/1012","24/18614",9.2126656467913e-10,7.66105880101592e-09,3.43759269174274e-09,"CD4/TMPRSS2/TYRO3/AXL/FURIN/TRIM21/CD74/HLA-DRB1/HMGB1/LGALS1/LGALS9/TMPRSS4",12
"BP","GO:0048708","astrocyte differentiation","22/1012","87/18614",9.26786008915155e-10,7.69600995471307e-09,3.45327561934295e-09,"APP/MAPT/TLR4/IL1B/IL6/TNF/GFAP/IFNG/KRAS/NF1/C1QA/TREM2/S100A8/S100A9/F2/C5AR1/STAT3/NOTCH1/AGER/DAB1/GRN/VIM",22
"BP","GO:0031342","negative regulation of cell killing","13/1012","29/18614",1.0102377632712e-09,8.37709214763611e-09,3.75888392097326e-09,"ARRB2/IL4/TGFB1/IL13/PTPRC/KLRC1/CX3CR1/HLA-A/HAVCR2/HLA-B/LGALS9/FCGR2B/IL7R",13
"BP","GO:0051208","sequestering of calcium ion","28/1012","137/18614",1.02380366316903e-09,8.47755837802569e-09,3.80396411005996e-09,"CD19/SNCA/TRPA1/CXCL10/CXCL9/CCL3/CCL19/CCR7/IL13/F2/THY1/PTPRC/FGF2/CCR5/CX3CL1/CCL21/CXCL11/TPCN2/SRI/PKD2/GSTO1/CHD7/SLC8B1/LETM1/RYR2/P2RX7/DDIT3/GP1BA",28
"BP","GO:0071634","regulation of transforming growth factor beta production","15/1012","40/18614",1.07922574832579e-09,8.92383836593007e-09,4.00421434501283e-09,"HIF1A/SMAD4/FURIN/IL13/SERPINF2/CD34/FOXP3/CD200/CX3CL1/FN1/PTGS2/LGALS9/TSKU/CD46/SMAD3",15
"BP","GO:2000351","regulation of endothelial cell apoptotic process","18/1012","59/18614",1.15251684809571e-09,9.51640324006713e-09,4.27010405211792e-09,"TNF/FGB/NFE2L2/GAS6/IL4/CCL2/CDH5/ICAM1/ANGPT1/KDR/FGF21/IL13/CD40LG/MIR132/SERPINE1/TEK/MIR126/BRAF",18
"BP","GO:1905954","positive regulation of lipid localization","25/1012","112/18614",1.16160772778531e-09,9.57793903615365e-09,4.29771577112464e-09,"IL1B/NFKB1/APOE/ADIPOQ/CRH/C3/SIRT1/TREM2/PPARG/IL1A/APOA1/TNFSF11/EDN1/MIR34A/NR1H2/MIF/CAV1/OXT/APOB/SPP1/P2RX7/MSR1/PLA2G10/ACSL1/ANXA2",25
"BP","GO:0046683","response to organophosphorus","27/1012","129/18614",1.16653495359748e-09,9.6050187869449e-09,4.30986672255734e-09,"APP/IL1B/SLC6A3/REN/ADIPOQ/AHR/STAT1/FOS/ASS1/BSG/NT5E/TLR7/SDC1/SOD1/THBD/PTGS2/AREG/HSPA5/PKD2/OXT/FOSB/RAPGEF1/P2RX7/TAF1/PLAT/P2RY1/P2RY2",27
"BP","GO:0007517","muscle organ development","49/1012","351/18614",1.21756016239803e-09,1.00110502241616e-08,4.49205703559982e-09,"KRAS/NF1/CTNNB1/EP300/CXCL10/TGFB1/MIR195/ZFPM1/SERP1/COL3A1/ACTA1/IGF1/SIRT1/ATF3/FOS/TNNC1/EGR1/SMAD4/TNNT2/GPX1/SVIL/ASS1/MAPK14/MIR145/COL6A3/RHOA/TAGLN/SGCA/MYH14/ITGB1/NOTCH1/TNNI3/ENG/TAFAZZIN/CAV1/SRI/ELN/CHD7/PHOX2B/HDAC9/RYR2/PAX5/SMAD3/ACVR1/TWIST1/UTRN/SGCG/STAC3/RB1",49
